Particle ID =     1
                 t                 x                 y                 z                ux                uy                uz               urx               ury               urz                Fx                Fy                Fz               RFx               RFy               RFz               Fxa               Fya               Fza
  0.259942774E-02   0.500000000E-01   0.500000000E-01   0.127495519E+00   0.000000000E+00   0.000000000E+00  -0.340545355E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.187341356E-03   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.941225015E-04 
  0.519885547E-02   0.500000000E-01   0.500000000E-01   0.127482509E+00   0.833905655E-14   0.833865499E-14  -0.656428697E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.615415094E-14   0.615385482E-14   0.370778215E-03   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.634935475E-14   0.634904900E-14   0.281898989E-03 
  0.779828321E-02   0.500000000E-01   0.500000000E-01   0.127461597E+00   0.112631678E-12   0.112640078E-12  -0.948800536E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.767892988E-13   0.767957785E-13   0.544644090E-03   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.794083653E-13   0.794150669E-13   0.460915484E-03 
  0.103977109E-01   0.500000000E-01   0.500000000E-01   0.127433376E+00  -0.237258247E-09  -0.237258238E-09  -0.121895006E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00  -0.174226763E-09  -0.174226762E-09   0.708424649E-03   0.000000000E+00   0.000000000E+00   0.000000000E+00  -0.180734104E-09  -0.180734104E-09   0.630116143E-03 
  0.129971387E-01   0.500000000E-01   0.500000000E-01   0.127398408E+00   0.683411245E-10   0.683411313E-10  -0.146821720E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.220676514E-09   0.220676512E-09   0.861955105E-03   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.232683255E-09   0.232683253E-09   0.789114505E-03 
  0.155965664E-01   0.500000000E-01   0.500000000E-01   0.127357217E+00  -0.880839204E-09  -0.880839206E-09  -0.169794783E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00  -0.703635004E-09  -0.703635010E-09   0.100531544E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00  -0.722705571E-09  -0.722705577E-09   0.937865387E-03 
  0.181959942E-01   0.500000000E-01   0.500000000E-01   0.127310294E+00  -0.325100883E-08  -0.325100884E-08  -0.190946015E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00  -0.175400902E-08  -0.175400903E-08   0.113879252E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00  -0.180464633E-08  -0.180464633E-08   0.107657958E-02 
  0.207954219E-01   0.500000000E-01   0.500000000E-01   0.127258097E+00   0.107974354E-07   0.107974354E-07  -0.210402474E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.102037558E-07   0.102037558E-07   0.126279585E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.106964805E-07   0.106964805E-07   0.120561958E-02 
  0.233948496E-01   0.500000001E-01   0.500000001E-01   0.127201049E+00   0.625400067E-07   0.625400067E-07  -0.228285445E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.376482886E-07   0.376482886E-07   0.137779361E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.393967757E-07   0.393967757E-07   0.132542483E-02 
  0.259942774E-01   0.500000004E-01   0.500000004E-01   0.127139545E+00   0.158241320E-06   0.158241321E-06  -0.244711405E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.696181724E-07   0.696181724E-07   0.148417332E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.728669469E-07   0.728669470E-07   0.143636162E-02 
  0.285937051E-01   0.500000010E-01   0.500000010E-01   0.127073948E+00   0.307331228E-06   0.307331228E-06  -0.259791062E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.108407710E-06   0.108407710E-06   0.158238474E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.113517003E-06   0.113517003E-06   0.153886915E-02 
  0.311931328E-01   0.500000021E-01   0.500000021E-01   0.127004596E+00   0.522286632E-06   0.522286632E-06  -0.273628530E-01   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.156214648E-06   0.156214648E-06   0.167293160E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.163666970E-06   0.163666970E-06   0.163344931E-02 
