Particle ID =     1
                 t                 x                 y                 z                ux                uy                uz               urx               ury               urz          Fx_hydro          Fy_hydro          Fz_hydro         RFx_hydro         RFy_hydro         RFz_hydro           Fx_coll           Fy_coll           Fz_coll
  0.554249631E-03   0.500000000E-01   0.500000000E-01   0.127499787E+00   0.000000000E+00   0.000000000E+00  -0.767032003E-03   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00  -0.273904075E-02   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.110849926E-02   0.500000000E-01   0.500000000E-01   0.127499179E+00   0.334749323E-18   0.217162870E-17  -0.142920864E-02   0.448549757E-16  -0.540794329E-16   0.429480552E-16   0.119537651E-17   0.775479965E-17  -0.236460641E-02   0.360394504E-20  -0.434509887E-20   0.345073045E-20   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.166274889E-02   0.500000000E-01   0.500000000E-01   0.127498233E+00   0.401005059E-17   0.117123700E-17  -0.198541609E-02   0.100408113E-15  -0.272713448E-16   0.207862377E-16   0.131243545E-16  -0.357235893E-17  -0.198619468E-02   0.446350602E-20   0.215393888E-20  -0.178062681E-20   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.221699853E-02   0.500000000E-01   0.500000000E-01   0.127496989E+00   0.142874170E-17  -0.566829226E-17  -0.250087996E-02   0.492475462E-16   0.686937287E-16  -0.705326613E-16  -0.921775129E-17  -0.244236868E-16  -0.184070096E-02  -0.411057788E-20   0.771046791E-20  -0.733716356E-20   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.277124816E-02   0.500000000E-01   0.500000000E-01   0.127495473E+00  -0.320357911E-17  -0.778059674E-17  -0.296904276E-02   0.728315769E-16   0.104409780E-15  -0.175283847E-16  -0.165418332E-16  -0.754295520E-17  -0.167179071E-02   0.189489681E-20   0.286966352E-20   0.425871371E-20   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.332549779E-02   0.500000000E-01   0.500000000E-01   0.127493709E+00   0.713582504E-17  -0.372605261E-17  -0.339611645E-02   0.223159823E-15   0.904717239E-16   0.647832553E-16   0.369216007E-16   0.144786157E-16  -0.152506313E-02   0.120783643E-19  -0.111987553E-20   0.661346088E-20   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.387974742E-02   0.500000000E-01   0.500000000E-01   0.127491719E+00   0.293866852E-16   0.232687121E-17  -0.378723000E-02   0.201834288E-15  -0.338173880E-16   0.351930530E-15   0.794569359E-16   0.216147500E-16  -0.139665093E-02  -0.171343433E-20  -0.998620825E-20   0.230713088E-19   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.443399705E-02   0.500000000E-01   0.500000000E-01   0.127489518E+00   0.277967504E-16   0.324177195E-17  -0.415383245E-02  -0.375044907E-16   0.162034664E-15   0.903898773E-15  -0.567759380E-17   0.326707413E-17  -0.130912275E-02  -0.192300585E-19   0.157360475E-19   0.443487748E-19   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.498824668E-02   0.500000000E-01   0.500000000E-01   0.127487120E+00   0.243915919E-16  -0.423184669E-17  -0.449847253E-02  -0.272336224E-15   0.595851117E-15   0.135740250E-14  -0.121596856E-16  -0.266879947E-16  -0.123069603E-02  -0.188679326E-19   0.348556795E-19   0.364374852E-19   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.554249631E-02   0.500000000E-01   0.500000000E-01   0.127484535E+00   0.209731099E-16  -0.389307544E-17  -0.482972173E-02  -0.340257730E-15   0.819270617E-15   0.162884177E-14  -0.122072632E-16   0.120973866E-17  -0.118287768E-02  -0.545726244E-20   0.179509984E-19   0.218092243E-19   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.609674594E-02   0.500000000E-01   0.500000000E-01   0.127481770E+00   0.211204431E-17   0.519375103E-17  -0.514903730E-02  -0.282910822E-15   0.927305051E-15   0.251394463E-14  -0.673521143E-16   0.324486956E-16  -0.114026321E-02   0.460762933E-20   0.868020003E-20   0.711150102E-19   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.665099558E-02   0.500000000E-01   0.500000000E-01   0.127478830E+00  -0.310038791E-17   0.335146115E-17  -0.546035809E-02  -0.262672286E-15   0.115283241E-14   0.318061232E-14  -0.186133879E-16  -0.657874383E-17  -0.111171415E-02   0.162609774E-20   0.181203578E-19   0.535644856E-19   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.720524521E-02   0.500000000E-01   0.500000000E-01   0.127475719E+00   0.525743294E-17  -0.247719551E-17  -0.576431540E-02  -0.348092995E-15   0.150115015E-14   0.313314886E-14   0.298454456E-16  -0.208139009E-16  -0.108541945E-02  -0.686326407E-20   0.279861482E-19  -0.381352799E-20   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.775949484E-02   0.500000000E-01   0.500000000E-01   0.127472441E+00   0.134903697E-16   0.271198658E-17  -0.606380490E-02  -0.299943222E-15   0.161772283E-14   0.314503817E-14   0.293994895E-16   0.185303627E-16  -0.106946508E-02   0.386867081E-20   0.936621899E-20   0.955265699E-21   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.831374447E-02   0.500000000E-01   0.500000000E-01   0.127468999E+00   0.213527543E-16   0.973183560E-17  -0.635914079E-02  -0.279835439E-15   0.178935198E-14   0.349396277E-14   0.280762624E-16   0.250676014E-16  -0.105463270E-02   0.161559214E-20   0.137898196E-19   0.280349072E-19   0.000000000E+00   0.000000000E+00   0.000000000E+00 
  0.886799410E-02   0.500000000E-01   0.500000000E-01   0.127465393E+00   0.466437586E-16   0.141871626E-16  -0.665223155E-02  -0.653137201E-15   0.176731986E-14   0.373725413E-14   0.903131695E-16   0.159097954E-16  -0.104661546E-02  -0.299935294E-19  -0.177020608E-20   0.195476352E-19   0.000000000E+00   0.000000000E+00   0.000000000E+00 
